code,date,floor,close,nmVolume,nmValue,change,pctChange
TCB,2021-08-10,HOSE,52.3,12265300.0,642292380000.0,-0.2,-0.381
TCB,2021-08-09,HOSE,52.5,15208100.0,788587870000.0,0.7,1.3514
TCB,2021-08-06,HOSE,51.8,16084300.0,844236010000.0,-0.7,-1.3333
TCB,2021-08-05,HOSE,52.5,12021200.0,628937850000.0,0.5,0.9615
TCB,2021-08-04,HOSE,52.0,19177300.0,1002066950000.0,0.2,0.3861
TCB,2021-08-03,HOSE,51.8,22927700.0,1180897610000.0,1.0,1.9685
TCB,2021-08-02,HOSE,50.8,14030000.0,716149470000.0,-0.3,-0.5871
TCB,2021-07-30,HOSE,51.1,16932500.0,865889900000.0,0.5,0.9881
TCB,2021-07-29,HOSE,50.6,12542100.0,632580670000.0,0.9,1.8109
TCB,2021-07-28,HOSE,49.7,7468600.0,372353280000.0,-0.05,-0.1005
TCB,2021-07-27,HOSE,49.75,13266100.0,661388115000.0,0.75,1.5306
TCB,2021-07-26,HOSE,49.0,14424400.0,707920080000.0,-0.5,-1.0101
TCB,2021-07-23,HOSE,49.5,20067800.0,1009382655000.0,-1.6,-3.1311
TCB,2021-07-22,HOSE,51.1,13886900.0,705667155000.0,0.8,1.5905
TCB,2021-07-21,HOSE,50.3,18598700.0,943702770000.0,0.8,1.6162
TCB,2021-07-20,HOSE,49.5,23861200.0,1147945480000.0,1.5,3.125
TCB,2021-07-19,HOSE,48.0,39327900.0,1935871250000.0,-3.6,-6.9767
TCB,2021-07-16,HOSE,51.6,13987500.0,730410970000.0,-0.5,-0.9597
TCB,2021-07-15,HOSE,52.1,20322400.0,1057424660000.0,1.1,2.1569
TCB,2021-07-14,HOSE,51.0,33443400.0,1743416520000.0,-2.9,-5.3803
TCB,2021-07-13,HOSE,53.9,20072400.0,1077013290000.0,0.4,0.7477
TCB,2021-07-12,HOSE,53.5,58235500.0,3115111880000.0,-3.1,-5.477
TCB,2021-07-09,HOSE,56.6,38234300.0,2185100190000.0,0.0,0.0
TCB,2021-07-08,HOSE,56.6,27362400.0,1549682220000.0,0.0,0.0
TCB,2021-07-07,HOSE,56.6,37766000.0,2081092260000.0,2.6,4.8148
TCB,2021-07-06,HOSE,54.0,23008200.0,1305439220000.0,-4.0,-6.8966
TCB,2021-07-05,HOSE,58.0,47547200.0,2669288060000.0,3.7,6.814
TCB,2021-07-02,HOSE,54.3,29377200.0,1597260510000.0,1.0,1.8762
TCB,2021-07-01,HOSE,53.3,19326700.0,1022672670000.0,0.6,1.1385
TCB,2021-06-30,HOSE,52.7,11461700.0,608304650000.0,-0.8,-1.4953
TCB,2021-06-29,HOSE,53.5,16059200.0,859042320000.0,-0.1,-0.1866
TCB,2021-06-28,HOSE,53.6,25721100.0,1372411030000.0,2.0,3.876
TCB,2021-06-25,HOSE,51.6,10947700.0,559496420000.0,0.7,1.3752
TCB,2021-06-24,HOSE,50.9,10692100.0,548242370000.0,-0.2,-0.3914
TCB,2021-06-23,HOSE,51.1,13102300.0,673005350000.0,0.2,0.3929
TCB,2021-06-22,HOSE,50.9,17224200.0,874361420000.0,0.5,0.9921
TCB,2021-06-21,HOSE,50.4,14920700.0,751820860000.0,-0.6,-1.1765
TCB,2021-06-18,HOSE,51.0,9956600.0,507308930000.0,0.8,1.5936
TCB,2021-06-17,HOSE,50.2,18677800.0,937430000000.0,-0.5,-0.9862
TCB,2021-06-16,HOSE,50.7,20575900.0,1053127260000.0,-1.6,-3.0593
TCB,2021-06-15,HOSE,52.3,19611800.0,1032630120000.0,-0.4,-0.759
TCB,2021-06-14,HOSE,52.7,16827800.0,887282460000.0,0.1,0.1901
